# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.1.2
#@/tick	57682
#@/user_id	Office-PC
a 	啊	c=62 d=0.0314298 t=57682
deng yu 	等於	c=1 d=2.23154e-061 t=57682
di 	低	c=7 d=1 t=53576
di 	地	c=43 d=0.0987682 t=57682
di 	底	c=3 d=4.94429e-038 t=57682
di 	滴	c=7 d=1.44347e-025 t=57682
di 	牴	c=1 d=3.46917e-046 t=57682
di 	的	c=0 d=0.1 t=45927
di 	睇	c=15 d=7.14812e-014 t=57682
di 	第	c=19 d=0.946485 t=57682
di ceng 	底層	c=11 d=0.138761 t=57682
di di 	睇睇	c=4 d=0.180866 t=57682
di dian 	地點	c=1 d=1 t=35185
di er 	第二	c=1 d=1.78695e-006 t=57682
di er bu fen 	第二部分	c=1 d=1.71688e-006 t=57682
di er ci 	第二次	c=2 d=1.78234e-005 t=57682
di er ge 	第二個	c=9 d=4.22531e-017 t=57682
di er hang 	第二行	c=2 d=1.43171 t=35879
di er ji 	第二季	c=3 d=1 t=53490
di er jie duan 	第二階段	c=1 d=0.909373 t=57682
di er qie que 	的而且確	c=1 d=1 t=45928
di er zhang 	第二章	c=1 d=1 t=39749
di fang 	地方	c=56 d=0.175214 t=57682
di gui 	遞歸	c=25 d=0.00857494 t=57682
di ji 	低級	c=1 d=1 t=50451
di ji 	第幾	c=1 d=1 t=50450
di ji shou 	第幾首	c=1 d=1 t=43798
di jia 	低價	c=1 d=1.55668e-030 t=57682
di ou 	低謳	c=0 d=0.1 t=54728
di qiu 	地球	c=1 d=4.62037e-056 t=57682
di qu 	地區	c=10 d=1.00278 t=53495
di que 	的確	c=3 d=2.62917e-049 t=57682
di san 	第三	c=1 d=1.89745e-006 t=57682
di san fang 	第三方	c=2 d=0.0995012 t=57682
di san fang de 	第三方的	c=1 d=1 t=57682
di san fang de shi 	第三方的是	c=1 d=1 t=35393
di san ge 	第三個	c=2 d=1.3061e-024 t=57682
di se 	底色	c=1 d=1 t=36018
di si 	第四	c=1 d=2.00473e-006 t=57682
di tei 	第忒	c=1 d=1 t=35042
di tie 	地鐵	c=11 d=1.47794e-037 t=57682
di tie zhan 	地鐵站	c=5 d=3.1609e-049 t=57682
di tu 	地圖	c=2 d=1.91393 t=35306
di wan 	睇完	c=3 d=1.8912e-026 t=57682
di xia 	底下	c=1 d=1 t=49056
di ya 	抵押	c=1 d=1 t=56221
di yi 	第一	c=3 d=0.802519 t=57682
di yi bu 	第一步	c=1 d=1 t=38516
di yi ci 	第一次	c=15 d=0.0147302 t=57682
di yi ge 	第一個	c=16 d=1.74838e-006 t=57682
di yi hang 	第一行	c=2 d=5.21762e-024 t=57682
di yi ji 	第一集	c=1 d=1 t=45787
di yi shi jian 	第一時間	c=1 d=1 t=53909
di yi tiao 	第一條	c=1 d=1.50728e-033 t=57682
di yi wei 	第一位	c=1 d=2.39179e-024 t=57682
di yi ye 	第一頁	c=1 d=3.66481e-015 t=57682
di yu 	低於	c=1 d=1 t=56793
di zhi 	地址	c=28 d=0.000796726 t=57682
dia ma 	嗲嗎	c=1 d=1 t=44437
dia ta nai 	嗲他耐	c=1 d=1 t=53761
dian 	·	c=18 d=8.61828e-008 t=57682
dian 	•	c=1 d=5.76305e-076 t=57682
dian 	店	c=3 d=4.90499e-051 t=57682
dian 	掂	c=2 d=2.63341e-063 t=57682
dian 	癲	c=3 d=6.32682e-027 t=57682
dian 	點	c=79 d=0.932811 t=57682
dian ban 	點半	c=1 d=1 t=55594
dian dao 	顛倒	c=1 d=3.24245e-045 t=57682
dian de 	點的	c=1 d=3.37133e-033 t=57682
dian feng 	巔峯	c=2 d=1.99005 t=45590
dian ge 	點個	c=2 d=1 t=57617
dian ge 	點歌	c=1 d=5.35227e-059 t=57682
dian hua 	電話	c=20 d=0.8149 t=57682
dian hua li 	電話裏	c=1 d=1 t=51124
dian ji 	點擊	c=40 d=0.0393407 t=57682
dian jin qu 	·進去	c=1 d=1.21321e-009 t=57682
dian le 	點了	c=4 d=7.03228e-006 t=57682
dian li 	店裏	c=1 d=1.28019e-053 t=57682
dian nao 	電腦	c=22 d=0.99554 t=57682
dian tai 	電臺	c=47 d=0.150038 t=57682
dian tou 	點頭	c=1 d=1 t=40757
dian yi bai ge zan 	點一百個讚	c=1 d=5.04503e-040 t=57682
dian ying 	電影	c=2 d=1 t=46286
dian ying piao 	電影票	c=1 d=1.57232e-030 t=57682
dian zhong 	點鐘	c=1 d=4.09652e-031 t=57682
dian zi 	電子	c=1 d=5.70219e-010 t=57682
dian zi shu 	電子書	c=1 d=1.02595e-066 t=57682
diao 	叼	c=8 d=0.0198411 t=57682
diao 	掉	c=17 d=0.0539337 t=57682
diao 	調	c=7 d=8.18844e-032 t=57682
diao ku 	叼哭	c=7 d=1.06238e-006 t=57682
diao xiong 	刁兄	c=2 d=1.98511 t=38172
diao yo ji nian guan 	掉喲紀念館	c=1 d=4.86804e-061 t=57682
diao yong 	調用	c=48 d=0.0129099 t=57682
diao yong na ge 	調用那個	c=1 d=9.19265e-040 t=57682
die dai 	迭代	c=4 d=1.07583e-007 t=57682
die zai 	疊在	c=2 d=1.8311 t=36896
ding 	定	c=10 d=0.245367 t=57682
ding 	盯	c=2 d=1.63905e-013 t=57682
ding 	訂	c=3 d=1.22096e-046 t=57682
ding 	頂	c=3 d=2.88324e-046 t=57682
ding bu 	頂部	c=1 d=2.67073e-057 t=57682
ding ding 	定定	c=1 d=1.3718e-072 t=57682
ding hao 	鼎好	c=0 d=6.62458e-069 t=57682
ding jin 	訂金	c=2 d=1.13056e-061 t=57682
ding qi 	定期	c=3 d=8.30936e-028 t=57682
ding shi 	定時	c=7 d=1.31036e-007 t=57682
ding shi qi 	定時器	c=1 d=5.38368e-069 t=57682
ding wei 	定位	c=32 d=0.905272 t=57682
ding wei dian 	定位點	c=3 d=1 t=51643
ding yi 	定義	c=17 d=2.71265e-005 t=57682
ding yue 	訂閱	c=2 d=0.526323 t=57682
ding zhi 	定製	c=2 d=2.44875e-075 t=57682
diu 	丟	c=2 d=3.83806e-030 t=57682
diu dao 	丟到	c=0 d=0.1 t=38067
diu dao zhe li 	丟到這裏	c=1 d=1 t=38068
diu ge 	丟個	c=1 d=1 t=54911
diu gei 	丟給	c=1 d=3.69197e-043 t=57682
diu le 	丟了	c=4 d=5.78031e-023 t=57682
diu shi 	丟失	c=3 d=7.38128e-017 t=57682
diu shi le 	丟失了	c=1 d=1 t=37733
diu yi ge 	丟一個	c=1 d=1 t=44597
dong 	動	c=3 d=8.49627e-025 t=57682
dong 	懂	c=24 d=0.00446036 t=57682
dong bi 	動筆	c=0 d=4.11075e-014 t=57682
dong de 	懂得	c=1 d=7.88345e-056 t=57682
dong hua 	動畫	c=7 d=1.24176e-018 t=57682
dong le 	懂了	c=8 d=1.71805e-014 t=57682
dong ni 	懂你	c=1 d=7.83187e-067 t=57682
dong ni 	東尼	c=1 d=2.1622e-072 t=57682
dong shou 	動手	c=0 d=1.50441e-041 t=57682
dong shou gai 	動手改	c=1 d=1.51196e-040 t=57682
dong tai 	動態	c=9 d=0.970446 t=57682
dong tai lian jie ku 	動態鏈接庫	c=1 d=1.29082e-062 t=57682
dong xi 	東西	c=18 d=2.01358e-013 t=57682
dou 	逗	c=1 d=0.008271 t=57682
dou 	都	c=234 d=1.12563 t=57682
dou dei 	都得	c=2 d=0.442639 t=57682
dou hao 	逗號	c=2 d=1.40854e-030 t=57682
dou hu 	都胡	c=1 d=1.56666e-017 t=57682
dou hui 	都會	c=11 d=0.0273237 t=57682
dou hui le 	都會了	c=1 d=7.36222e-016 t=57682
dou ke yi 	都可以	c=2 d=0.384812 t=57682
dou neng 	都能	c=1 d=3.5294e-072 t=57682
dou pu 	都噗	c=1 d=4.67811e-034 t=57682
dou qu 	都去	c=1 d=4.61881e-031 t=57682
dou shi 	都是	c=46 d=0.897414 t=57682
dou tan 	都彈	c=1 d=1 t=51993
dou xi 	兜膝	c=1 d=3.38351e-046 t=57682
dou xing 	都行	c=2 d=1.9802 t=37129
dou xu yao 	都需要	c=1 d=1.20024e-059 t=57682
dou yao 	都要	c=4 d=1.74778e-010 t=57682
dou yao o 	都要噢	c=1 d=1.7564e-009 t=57682
dou yong 	都用	c=1 d=6.33544e-043 t=57682
dou you 	都有	c=6 d=7.29765e-030 t=57682
dou zai 	都在	c=5 d=8.5729e-013 t=57682
dou zhi shi 	都只是	c=1 d=1 t=52459
du 	度	c=5 d=6.66388e-020 t=57682
du 	讀	c=3 d=1.7287e-019 t=57682
du duo 	讀多	c=1 d=2.91321e-050 t=57682
du jia 	獨家	c=1 d=2.38602e-026 t=57682
du jia ge qu 	獨家歌曲	c=1 d=1 t=46344
du qu 	讀取	c=32 d=0.0776922 t=57682
du shao le 	讀少了	c=1 d=2.95723e-050 t=57682
du shu 	讀書	c=1 d=2.74832e-041 t=57682
du wan 	讀完	c=0 d=2.51785e-041 t=57682
du wan shu 	讀完書	c=1 d=2.53047e-040 t=57682
du xie 	讀寫	c=5 d=1.88385e-039 t=57682
du you 	獨有	c=2 d=6.97683e-020 t=57682
duan 	斷	c=4 d=3.98032e-016 t=57682
duan 	段	c=1 d=1 t=42310
duan 	短	c=4 d=0.0135009 t=57682
duan 	端	c=2 d=0.00201558 t=57682
duan dian 	斷點	c=1 d=1.5911e-052 t=57682
duan kou 	端口	c=4 d=1.27329e-009 t=57682
duan kou hao 	端口號	c=1 d=1.31765e-010 t=57682
duan ku 	短褲	c=1 d=1 t=57005
duan le 	斷了	c=3 d=1.16002e-011 t=57682
duan lian 	鍛鍊	c=3 d=3.242e-014 t=57682
duan shi jian nei 	短時間內	c=1 d=1 t=54552
duan yan 	斷言	c=1 d=3.8201e-062 t=57682
duan yi dian 	端一點	c=1 d=0.0134335 t=57682
duan zhi 	斷職	c=1 d=2.7074e-041 t=57682
dui 	對	c=63 d=0.173275 t=57682
dui ba 	對吧	c=3 d=0.000176005 t=57682
dui bi 	對比	c=17 d=0.0639279 t=57682
dui bu 	對不	c=1 d=7.32675e-018 t=57682
dui bu dui 	對不對	c=1 d=1 t=40628
dui bu qi 	對不起	c=2 d=1.18221e-028 t=57682
dui bu shang 	對不上	c=4 d=4.49391e-032 t=57682
dui ci 	對此	c=1 d=1.63454e-016 t=57682
dui dei 	對得	c=1 d=1.06989e-030 t=57682
dui dei shan 	對得刪	c=1 d=4.40492e-032 t=57682
dui dian 	對點	c=1 d=7.02106e-046 t=57682
dui fang 	對方	c=1 d=6.40267e-069 t=57682
dui fang bu shi 	對方不是	c=1 d=2.15105e-070 t=57682
dui guo 	對過	c=2 d=7.99482e-042 t=57682
dui guo le 	對過了	c=1 d=1.66751e-045 t=57682
dui hai shi cuo 	對還是錯	c=1 d=1 t=53005
dui jie 	對接	c=1 d=1 t=41220
dui le 	對了	c=5 d=4.27706e-009 t=57682
dui lie 	隊列	c=1 d=1 t=56059
dui nei 	對內	c=1 d=2.56129e-006 t=57682
dui o xie 	對噢些	c=1 d=1.19571e-044 t=57682
dui qi 	對齊	c=18 d=4.91895e-007 t=57682
dui qi yi xia 	對齊一下	c=1 d=9.26737e-047 t=57682
dui wai 	對外	c=11 d=5.52196e-006 t=57682
dui wai jie kou 	對外接口	c=1 d=3.56874e-026 t=57682
dui wo 	對我	c=1 d=1 t=44157
dui xia 	對蝦	c=2 d=3.09124e-042 t=57682
dui xiang 	對象	c=10 d=2.64612e-007 t=57682
dui ya 	對呀	c=1 d=1 t=41748
dui yi xia 	對一下	c=6 d=4.12925e-007 t=57682
dui ying 	對應	c=59 d=0.467685 t=57682
dui ying guan xi 	對應關係	c=2 d=7.45292e-013 t=57682
dui yu 	對於	c=11 d=1.80148e-013 t=57682
dui zan 	對讚	c=1 d=1 t=56889
dui zhan 	堆棧	c=13 d=1.53446 t=57682
dui zhe 	對着	c=2 d=6.20913e-012 t=57682
dui zi ji 	對自己	c=1 d=1.82175e-027 t=57682
duo 	多	c=28 d=0.105928 t=57682
duo ci 	多次	c=6 d=0.00121259 t=57682
duo da 	多大	c=1 d=3.6748e-047 t=57682
duo duo 	多多	c=1 d=2.89868e-050 t=57682
duo ge 	多個	c=4 d=2.19308e-033 t=57682
duo gui 	多貴	c=1 d=1 t=38683
duo jiu 	多久	c=5 d=1.92181e-009 t=57682
duo le 	多了	c=4 d=1.06567e-013 t=57682
duo me 	多麼	c=3 d=2.92703e-017 t=57682
duo mei ti 	多媒體	c=10 d=1.03123e-016 t=57682
duo ping tai 	多平臺	c=1 d=1 t=57678
duo qian 	多錢	c=1 d=1.33062e-037 t=57682
duo shao 	多少	c=15 d=0.00114769 t=57682
duo shao ci 	多少次	c=1 d=1 t=55201
duo shao ge 	多少個	c=1 d=0.00423234 t=57682
duo shao shou 	多少首	c=1 d=1 t=44049
duo shi shi 	多試試	c=1 d=1 t=50993
duo shi xia 	多試下	c=1 d=1 t=52168
duo sou 	多搜	c=1 d=1 t=39908
duo wen wen ne 	多問問呢	c=1 d=7.36049e-072 t=57682
duo xian 	多嫌	c=1 d=1 t=39006
duo xian cheng 	多線程	c=3 d=3.11435e-012 t=57682
duo xie 	多謝	c=59 d=0.802567 t=57682
duo xie ei 	多謝誒	c=1 d=1 t=49010
duo yong 	多用	c=1 d=8.39689e-063 t=57682
duo yu 	多餘	c=4 d=1.67594e-016 t=57682
e 	額	c=10 d=0.00125354 t=57682
e 	餓	c=2 d=9.74449e-020 t=57682
e bi 	扼臂	c=0 d=1.40978e-012 t=57682
e fen 	堊粉	c=0 d=8.6244e-055 t=57682
e kou 	惡口	c=0 d=1.71619e-061 t=57682
e lie 	惡劣	c=0 d=1.48565e-011 t=57682
e ren 	惡人	c=1 d=3.72919e-014 t=57682
e wai 	額外	c=14 d=1.29675e-015 t=57682
e wen ti 	額問題	c=1 d=6.46431e-074 t=57682
e yi 	惡意	c=1 d=1 t=37701
ei 	誒	c=13 d=0.00790705 t=57682
ei xiao 	誒笑	c=0 d=1.10841e-006 t=57682
ei zhi 	誒只	c=1 d=0.105195 t=48520
en 	嗯	c=294 d=0.558035 t=57682
en en 	嗯嗯	c=4 d=4.33049e-008 t=57682
er 	②	c=58 d=0.0112206 t=57682
er 	二	c=6 d=3.8707e-011 t=57682
er 	兒	c=1 d=5.46911e-019 t=57682
er 	而	c=18 d=0.0668703 t=57682
er bing 	爾冰	c=3 d=1.99896 t=45537
er bu 	而不	c=1 d=1 t=40121
er bu shi 	而不是	c=6 d=3.13753e-011 t=57682
er dai 	二代	c=1 d=5.01359e-062 t=57682
er dai shen fen zheng 	二代身份證	c=1 d=4.88064e-062 t=57682
er fei 	而非	c=2 d=1 t=50290
er hua bu shuo 	二話不說	c=1 d=1 t=55396
er ji 	二級	c=3 d=1.20404e-008 t=57682
er ji ye 	二級頁	c=2 d=6.14123e-056 t=57682
er jin zhi 	二進制	c=2 d=2.79803e-046 t=57682
er qie 	而且	c=21 d=0.333089 t=57682
er shi 	而是	c=1 d=2.04475e-062 t=57682
er tai 	二胎	c=1 d=1 t=36953
er yi 	而已	c=3 d=0.000159256 t=57682
fa 	伐	c=1 d=1 t=49708
fa 	法	c=4 d=4.77845e-019 t=57682
fa 	發	c=33 d=0.0125934 t=57682
fa ban ben 	發版本	c=3 d=0.0232837 t=57682
fa bu 	發佈	c=23 d=1.69703 t=57682
fa bu qian 	發佈前	c=1 d=1 t=55968
fa chu qu 	發出去	c=3 d=3.9015e-016 t=57682
fa cuo 	發錯	c=2 d=1 t=48000
fa dao 	發到	c=2 d=5.75754e-006 t=57682
fa dong 	發動	c=1 d=1 t=56686
fa fa 	發發	c=0 d=5.17275e-041 t=57682
fa fa fa 	發發發	c=1 d=5.19867e-040 t=57682
fa ge 	發個	c=6 d=0.000133021 t=57682
fa gei 	發給	c=3 d=1.36129e-011 t=57682
fa gei ni 	發給你	c=2 d=1.18813e-029 t=57682
fa gei ni ni 	發給你你	c=1 d=1 t=44823
fa gei wo 	發給我	c=5 d=1.32746e-009 t=57682
fa gong zi 	發工資	c=1 d=1.52394e-074 t=57682
fa guo 	發過	c=1 d=1.04942e-038 t=57682
fa la li 	法拉利	c=1 d=1.06604e-017 t=57682
fa lai 	發來	c=1 d=8.53277e-046 t=57682
fa le 	發了	c=7 d=2.1996e-009 t=57682
fa ming 	發明	c=1 d=1.22937e-047 t=57682
fa nan 	發難	c=1 d=1.38615e-018 t=57682
fa qi 	發起	c=6 d=1.03712e-016 t=57682
fa qing qiu 	發請求	c=3 d=1.10578 t=57288
fa she 	發射	c=1 d=1 t=55314
fa sheng 	發生	c=27 d=0.124307 t=57682
fa sheng bian hua 	發生變化	c=1 d=1.23423e-064 t=57682
fa song 	發送	c=39 d=0.000115874 t=57682
fa wai wang 	發外網	c=1 d=6.65007e-025 t=57682
fa wan 	發完	c=2 d=2.77036e-007 t=57682
fa wen zhang 	發文章	c=1 d=1 t=44298
fa wo 	發我	c=1 d=0.0168231 t=57682
fa xi tong 	發系統	c=1 d=1.54171e-034 t=57682
fa xian 	發現	c=44 d=0.337649 t=57682
fa xian le 	發現了	c=1 d=5.2411e-018 t=57682
fa xin xi 	發信息	c=1 d=1.60523e-009 t=57682
fa yang guang da 	發揚光大	c=1 d=5.86748e-052 t=57682
fa yi bo 	發一波	c=1 d=1.2224e-039 t=57682
fa yi ci 	發一次	c=2 d=3.0751e-064 t=57682
fa yi ge 	發一個	c=1 d=2.52557e-076 t=57682
fa yi xia 	發一下	c=3 d=1.00344e-011 t=57682
fa you jian 	發郵件	c=1 d=1 t=55256
fan 	反	c=4 d=0.060205 t=57682
fan 	煩	c=2 d=1 t=45970
fan 	犯	c=1 d=1 t=50456
fan 	翻	c=5 d=5.00877e-014 t=57682
fan 	飯	c=2 d=1.69624e-041 t=57682
fan bian yi 	反編譯	c=7 d=0.0141223 t=57682
fan dui 	反對	c=2 d=1.97045 t=40471
fan er 	反而	c=1 d=1 t=46858
fan fu 	反覆	c=1 d=2.82903e-058 t=57682
fan guan 	飯館	c=0 d=4.5822e-056 t=57682
fan gui 	犯規	c=1 d=4.56275e-005 t=57682
fan hou 	飯後	c=2 d=3.32566e-049 t=57682
fan hui 	返回	c=33 d=2.50714e-005 t=57682
fan hui de 	返回的	c=1 d=1 t=54475
fan hui jian 	返回件	c=2 d=1.6942 t=51327
fan hui zhi 	返回值	c=2 d=3.12241e-013 t=57682
fan ku 	藩庫	c=1 d=1.12823e-037 t=57682
fan kui 	反饋	c=69 d=0.621814 t=57682
fan kui liang 	反饋量	c=1 d=7.48725e-067 t=57682
fan li 	範例	c=1 d=1 t=40221
fan li 	返黎	c=1 d=1 t=35143
fan nao 	煩惱	c=3 d=2.68696 t=53106
fan pai 	翻拍	c=1 d=4.04309e-053 t=57682
fan qie 	番茄	c=1 d=1.33839e-076 t=57682
fan qu 	翻去	c=1 d=8.05229e-070 t=57682
fan she 	反射	c=4 d=1.27584e-013 t=57682
fan shen 	翻身	c=2 d=1.68484e-049 t=57682
fan shi 	凡是	c=2 d=2.8907e-047 t=57682
fan suo 	繁瑣	c=1 d=1 t=49498
fan wei 	範圍	c=3 d=0.0587185 t=57682
fan yi 	翻譯	c=6 d=5.49701e-043 t=57682
fan yi ming 	翻譯名	c=4 d=4.99809e-045 t=57682
fan ying 	反應	c=12 d=3.03298e-023 t=57682
fan zheng 	反正	c=6 d=1.35474e-013 t=57682
fang 	房	c=1 d=1.87493e-042 t=57682
fang 	放	c=13 d=0.000381288 t=57682
fang 	方	c=18 d=0.000568091 t=57682
fang 	防	c=0 d=3.01277e-064 t=57682
fang an 	方案	c=75 d=0.00518194 t=57682
fang an zhu ce 	方案註冊	c=1 d=9.12318e-039 t=57682
fang bian 	方便	c=31 d=0.000626977 t=57682
fang bian xie 	方便寫	c=1 d=1.5078e-037 t=57682
fang chan 	房產	c=2 d=2.0476e-049 t=57682
fang chu lai 	放出來	c=1 d=1 t=55134
fang cuo 	方錯	c=1 d=4.79327e-026 t=57682
fang da 	放大	c=3 d=1.39889e-008 t=57682
fang da 	放達	c=1 d=1 t=54064
fang dao 	放到	c=14 d=2.87589e-016 t=57682
fang fa 	方法	c=89 d=0.15822 t=57682
fang fa shu 	方法數	c=7 d=0.00204983 t=57682
fang hou 	放後	c=1 d=1 t=55789
fang jin qu 	放進去	c=1 d=4.16481e-049 t=57682
fang kai 	放開	c=3 d=2.22433e-023 t=57682
fang mian 	方面	c=1 d=1 t=39736
fang ni 	方妮	c=1 d=1 t=47159
fang nu 	房奴	c=1 d=1 t=39191
fang po jie 	防破解	c=1 d=3.02787e-063 t=57682
fang ru 	放入	c=1 d=1 t=43229
fang shi 	方式	c=44 d=1.74283e-006 t=57682
fang tu 	方圖	c=2 d=1 t=56544
fang wen 	訪問	c=6 d=0.83527 t=57682
fang xiang 	方向	c=5 d=7.39007e-031 t=57682
fang xiang jian 	方向鍵	c=2 d=3.08924e-005 t=57682
fang xin 	放心	c=1 d=1 t=54131
fang xing 	方形	c=1 d=3.8408e-008 t=57682
fang yi duan 	放一段	c=1 d=1.56315e-020 t=57682
fang ying 	放映	c=1 d=0.1 t=42389
fang zai 	放在	c=18 d=0.0799243 t=57682
fang zhe li 	方這裏	c=1 d=1 t=55732
fang zheng 	方正	c=3 d=2.9316 t=35643
fang zhi 	防止	c=1 d=1 t=56668
fang zi 	房子	c=5 d=0.0181334 t=57682
fei 	費	c=1 d=7.87968e-021 t=57682
fei 	非	c=34 d=0.247833 t=57682
fei 	飛	c=3 d=1.55726e-005 t=57682
fei chang 	非常	c=11 d=0.0194482 t=57682
fei chang duo 	非常多	c=2 d=9.85783e-009 t=57682
fei chu 	廢除	c=1 d=1 t=46848
fei hua 	廢話	c=3 d=0.00489275 t=57682
fei le 	廢了	c=1 d=8.15149e-067 t=57682
fei qi 	飛起	c=1 d=1 t=35302
fei qi lai 	飛起來	c=1 d=1 t=42081
fei shou ci 	非首次	c=1 d=4.96062e-018 t=57682
fen 	份	c=1 d=1 t=35603
fen 	分	c=13 d=2.22864e-008 t=57682
fen 	粉	c=1 d=0.198274 t=35601
fen ban ben 	分版本	c=2 d=2.96398e-018 t=57682
fen bie 	分別	c=3 d=4.30889e-008 t=57682
fen dao 	分到	c=3 d=3.33722e-031 t=57682
fen duan 	分段	c=1 d=1 t=56553
fen fa 	分發	c=2 d=2.59502e-051 t=57682
fen fen 	分分	c=0 d=0.1 t=38677
fen fen zhong 	分分鍾	c=2 d=1 t=43653
fen ge xian 	分割線	c=1 d=1 t=47439
fen gei 	分給	c=0 d=6.81262e-016 t=57682
fen gei ni 	分給你	c=1 d=6.84677e-015 t=57682
fen gong 	分工	c=2 d=8.30088e-016 t=57682
fen kai 	分開	c=3 d=6.26833e-006 t=57682
fen le 	分了	c=1 d=5.78603e-064 t=57682
fen lei 	分類	c=10 d=0.00341356 t=57682
fen pei 	分配	c=3 d=6.30726e-020 t=57682
fen pei yi ge 	分配一個	c=1 d=1.49508e-055 t=57682
fen pi 	分批	c=3 d=2.95016e-042 t=57682
fen pian 	分片	c=4 d=1.44762e-041 t=57682
fen ping tai 	分平臺	c=1 d=1 t=49608
fen shou fa 	分手法	c=1 d=8.30034e-074 t=57682
fen si 	粉絲	c=1 d=7.01031e-028 t=57682
fen xi 	分析	c=11 d=4.57489e-007 t=57682
fen xiang 	分享	c=14 d=0.0138427 t=57682
fen ye 	分頁	c=5 d=1.59187e-006 t=57682
fen zhi 	分支	c=38 d=0.750285 t=57682
fen zhi shang 	分支上	c=1 d=3.22398e-066 t=57682
fen zhong 	分鐘	c=12 d=0.0156686 t=57682
fen zu 	分組	c=1 d=1.29372e-059 t=57682
feng 	封	c=3 d=4.54387e-020 t=57682
feng 	風	c=1 d=1 t=35160
feng bao 	風暴	c=1 d=3.04367e-036 t=57682
feng fu 	豐富	c=1 d=1 t=52978
feng ting 	封停	c=1 d=1 t=44405
feng xian 	風險	c=5 d=1.2109e-016 t=57682
feng xiang 	風向	c=3 d=2.03285e-043 t=57682
feng zhuang 	封裝	c=6 d=2.86057e-012 t=57682
fou 	否	c=6 d=0.0148464 t=57682
fou ding 	否定	c=2 d=1.97045 t=42501
fou ze 	否則	c=4 d=1.53883e-012 t=57682
fu 	父	c=5 d=5.5145e-018 t=57682
fu 	覆	c=1 d=4.68079e-070 t=57682
fu 	輔	c=1 d=1.48985e-026 t=57682
fu ceng 	浮層	c=2 d=5.0006e-074 t=57682
fu chu 	付出	c=1 d=4.89359e-005 t=57682
fu fei 	付費	c=2 d=0.000357068 t=57682
fu fei bao 	付費包	c=1 d=0.00179097 t=57682
fu fei ge qu 	付費歌曲	c=1 d=1 t=56556
fu fu 	父父	c=1 d=1.52036e-017 t=57682
fu gai 	覆蓋	c=28 d=0.0378544 t=57682
fu gai le 	覆蓋了	c=1 d=1 t=37674
fu hao 	符號	c=6 d=6.06924e-038 t=57682
fu hao biao 	符號表	c=5 d=1.17755e-011 t=57682
fu jian 	附件	c=8 d=0.396531 t=57682
fu jin 	附近	c=1 d=1.99847e-028 t=57682
fu li 	福利	c=1 d=4.39865e-074 t=57682
fu mu 	父母	c=1 d=3.97735e-066 t=57682
fu mu lu 	父目錄	c=4 d=1.77003e-017 t=57682
fu mu lu 	輔目錄	c=1 d=1.84451e-026 t=57682
fu qin 	父親	c=1 d=1.16981e-051 t=57682
fu shang 	附上	c=3 d=0.648683 t=57682
fu shu 	負數	c=1 d=1 t=50924
fu tai 	富態	c=3 d=2.88094 t=47177
fu te 	福特	c=6 d=3.50518 t=48587
fu wu 	服務	c=47 d=9.61165e-005 t=57682
fu wu fei 	服務費	c=0 d=0.1 t=35272
fu wu qi 	服務器	c=7 d=3.74788e-014 t=57682
fu xian 	復現	c=22 d=0.6099 t=57682
fu xie 	覆寫	c=1 d=0.0297478 t=57682
fu yin jian 	複印件	c=5 d=5.93232e-049 t=57682
fu yong 	復用	c=5 d=5.6328e-013 t=57682
fu yu 	傅裕	c=1 d=1 t=53549
fu za 	複雜	c=10 d=5.94591e-008 t=57682
fu za du 	複雜度	c=1 d=4.11622e-058 t=57682
fu ze 	負責	c=14 d=5.95189e-006 t=57682
fu ze ren 	負責人	c=3 d=0.0234005 t=57682
fu zhi 	複製	c=7 d=4.30816e-006 t=57682
fu zhi 	賦值	c=5 d=0.00644146 t=57682
fu zhu 	輔助	c=2 d=1.64413e-026 t=57682
ga 	噶	c=7 d=4.11405e-013 t=57682
ga ma 	噶嗎	c=1 d=1 t=53348
gai 	改	c=70 d=0.0604958 t=57682
gai 	該	c=20 d=8.82793e-017 t=57682
gai ba 	改吧	c=1 d=2.64514e-032 t=57682
gai ban 	改版	c=4 d=0.00348252 t=57682
gai bian 	改變	c=7 d=2.87744e-018 t=57682
gai bu liao 	改不了	c=5 d=4.86157e-016 t=57682
gai cheng 	改成	c=19 d=0.000241208 t=57682
gai chu lai 	改出來	c=1 d=1 t=47430
gai dao 	改到	c=2 d=9.54798e-045 t=57682
gai dian 	該店	c=1 d=1 t=49865
gai dong 	改動	c=31 d=1.20949 t=57682
gai fa 	該法	c=1 d=8.58458e-029 t=57682
gai gai 	改改	c=1 d=3.56813e-024 t=57682
gai ge 	改革	c=1 d=1 t=55145
gai guo 	改過	c=1 d=2.75121e-024 t=57682
gai guo 	蓋過	c=2 d=2.73749e-024 t=57682
gai guo lai 	改過來	c=1 d=1 t=37314
gai hao 	改好	c=11 d=0.0152224 t=57682
gai kuo 	概括	c=0 d=1.48767e-027 t=57682
gai kuo jiu shi 	概括就是	c=1 d=1.49513e-026 t=57682
gai le 	改了	c=9 d=0.0120342 t=57682
gai lv 	概率	c=6 d=0.00349997 t=57682
gai ma 	改嗎	c=2 d=4.63633e-031 t=57682
gai ming 	改名	c=1 d=3.68996e-066 t=57682
gai mo ban 	改模板	c=1 d=1 t=35622
